x, y, feet, theta
0,  0, 15.75, 126.87
0,  10, 15.70, 127.01
0,  20, 15.65, 127.15
0,  30, 15.60, 127.29
0,  40, 15.55, 127.43
0,  50, 15.50, 127.57
0,  60, 15.45, 127.71
0,  70, 15.40, 127.85
0,  80, 15.35, 128.00
0,  90, 15.30, 128.14
0,  100, 15.25, 128.29
0,  110, 15.20, 128.44
0,  120, 15.15, 128.59
0,  130, 15.10, 128.73
0,  140, 15.05, 128.88
0,  150, 15.00, 129.04
0,  160, 14.95, 129.19
0,  170, 14.90, 129.34
0,  180, 14.85, 129.49
0,  190, 14.81, 129.65
0,  200, 14.76, 129.81
0,  210, 14.71, 129.96
0,  220, 14.66, 130.12
0,  230, 14.61, 130.28
0,  240, 14.56, 130.44
0,  250, 14.52, 130.60
0,  260, 14.47, 130.76
0,  270, 14.42, 130.93
0,  280, 14.37, 131.09
0,  290, 14.33, 131.26
0,  300, 14.28, 131.42
0,  310, 14.23, 131.59
0,  320, 14.19, 131.76
0,  330, 14.14, 131.93
0,  340, 14.09, 132.10
0,  350, 14.04, 132.27
0,  360, 14.00, 132.45
0,  370, 13.95, 132.62
0,  380, 13.91, 132.80
0,  390, 13.86, 132.97
0,  400, 13.81, 133.15
0,  410, 13.77, 133.33
0,  420, 13.72, 133.51
0,  430, 13.68, 133.69
0,  440, 13.63, 133.88
0,  450, 13.59, 134.06
0,  460, 13.54, 134.25
0,  470, 13.50, 134.43
0,  480, 13.45, 134.62
0,  490, 13.41, 134.81
0,  500, 13.36, 135.00
0,  510, 13.32, 135.19
0,  520, 13.27, 135.38
0,  530, 13.23, 135.58
0,  540, 13.18, 135.77
0,  550, 13.14, 135.97
0,  560, 13.10, 136.17
0,  570, 13.05, 136.37
0,  580, 13.01, 136.57
0,  590, 12.97, 136.77
0,  600, 12.92, 136.97
0,  610, 12.88, 137.18
0,  620, 12.84, 137.39
0,  630, 12.80, 137.59
0,  640, 12.75, 137.80
0,  650, 12.71, 138.01
0,  660, 12.67, 138.22
0,  670, 12.63, 138.44
0,  680, 12.58, 138.65
0,  690, 12.54, 138.87
0,  700, 12.50, 139.09
0,  710, 12.46, 139.30
0,  720, 12.42, 139.52
0,  730, 12.38, 139.75
0,  740, 12.34, 139.97
0,  750, 12.30, 140.19
0,  760, 12.26, 140.42
0,  770, 12.22, 140.65
0,  780, 12.18, 140.88
0,  790, 12.14, 141.11
0,  800, 12.10, 141.34
0,  810, 12.06, 141.57
0,  820, 12.02, 141.81
0,  830, 11.98, 142.05
0,  840, 11.94, 142.28
0,  850, 11.90, 142.52
0,  860, 11.87, 142.77
0,  870, 11.83, 143.01
0,  880, 11.79, 143.25
0,  890, 11.75, 143.50
0,  900, 11.72, 143.75
0,  910, 11.68, 144.00
0,  920, 11.64, 144.25
0,  930, 11.60, 144.50
0,  940, 11.57, 144.75
0,  950, 11.53, 145.01
0,  960, 11.50, 145.27
0,  970, 11.46, 145.52
0,  980, 11.42, 145.78
0,  990, 11.39, 146.05
0,  1000, 11.35, 146.31
0,  1010, 11.32, 146.58
0,  1020, 11.29, 146.84
0,  1030, 11.25, 147.11
0,  1040, 11.22, 147.38
0,  1050, 11.18, 147.65
0,  1060, 11.15, 147.93
0,  1070, 11.12, 148.20
0,  1080, 11.08, 148.48
0,  1090, 11.05, 148.76
0,  1100, 11.02, 149.04
0,  1110, 10.99, 149.32
0,  1120, 10.95, 149.60
0,  1130, 10.92, 149.89
0,  1140, 10.89, 150.17
0,  1150, 10.86, 150.46
0,  1160, 10.83, 150.75
0,  1170, 10.80, 151.04
0,  1180, 10.77, 151.34
0,  1190, 10.74, 151.63
0,  1200, 10.71, 151.93
